Deduped.author.names,Author.Keywords,Year
"Magnor, M.",order selection,2015
"Palomo, C.",Transportation,2015
"Palomo, C.",schedules,2015
"Palomo, C.",kernel density estimation,2015
"Palomo, C.",visual exploration,2015
Zhan Guo,Transportation,2015
Zhan Guo,schedules,2015
Zhan Guo,kernel density estimation,2015
Zhan Guo,visual exploration,2015
"Silva, C.T.",Transportation,2015
"Silva, C.T.",schedules,2015
"Silva, C.T.",kernel density estimation,2015
"Silva, C.T.",visual exploration,2015
"Freire, J.",Transportation,2015
"Freire, J.",schedules,2015
"Freire, J.",kernel density estimation,2015
"Freire, J.",visual exploration,2015
"Valdivia, P.",Time-varying data,2015
"Valdivia, P.",graph wavelets,2015
"Valdivia, P.",stacked graph visualization,2015
"Dias, F.",Time-varying data,2015
"Dias, F.",graph wavelets,2015
"Dias, F.",stacked graph visualization,2015
"Petronetto, F.",Time-varying data,2015
"Petronetto, F.",graph wavelets,2015
"Petronetto, F.",stacked graph visualization,2015
"Silva, C.T.",Time-varying data,2015
"Silva, C.T.",graph wavelets,2015
"Silva, C.T.",stacked graph visualization,2015
"Nonato, L.G.",Time-varying data,2015
"Nonato, L.G.",graph wavelets,2015
"Nonato, L.G.",stacked graph visualization,2015
"Boy, J.",Literacy,2014
"Boy, J.",Visualization literacy,2014
"Boy, J.",Rasch Model,2014
"Boy, J.",Item Response Theory,2014
"Rensink, R.A.",Literacy,2014
"Rensink, R.A.",Visualization literacy,2014
"Rensink, R.A.",Rasch Model,2014
"Rensink, R.A.",Item Response Theory,2014
"Bertini, E.",Literacy,2014
"Bertini, E.",Visualization literacy,2014
"Bertini, E.",Rasch Model,2014
"Bertini, E.",Item Response Theory,2014
"Fekete, J.",Literacy,2014
"Fekete, J.",Visualization literacy,2014
"Fekete, J.",Rasch Model,2014
"Fekete, J.",Item Response Theory,2014
"Stusak, S.",Physical Visualizations,2014
"Stusak, S.",Activity Sculptures,2014
"Stusak, S.",Physical Activity,2014
"Stusak, S.",Data Sculptures,2014
"Stusak, S.",Behavioral Change,2014
"Tabard, A.",Physical Visualizations,2014
"Tabard, A.",Activity Sculptures,2014
"Tabard, A.",Physical Activity,2014
"Tabard, A.",Data Sculptures,2014
"Tabard, A.",Behavioral Change,2014
"Sauka, F.",Physical Visualizations,2014
"Sauka, F.",Activity Sculptures,2014
"Sauka, F.",Physical Activity,2014
"Sauka, F.",Data Sculptures,2014
"Sauka, F.",Behavioral Change,2014
"Khot, R.A.",Physical Visualizations,2014
"Khot, R.A.",Activity Sculptures,2014
"Khot, R.A.",Physical Activity,2014
"Khot, R.A.",Data Sculptures,2014
"Khot, R.A.",Behavioral Change,2014
"Butz, A.",Physical Visualizations,2014
"Butz, A.",Activity Sculptures,2014
"Butz, A.",Physical Activity,2014
"Butz, A.",Data Sculptures,2014
"Butz, A.",Behavioral Change,2014
"Kindlmann, G.",Visualization Design,2014
"Kindlmann, G.",Symmetries,2014
"Kindlmann, G.",Visualization Theory,2014
"Scheidegger, C.E.",Visualization Design,2014
"Scheidegger, C.E.",Symmetries,2014
"Scheidegger, C.E.",Visualization Theory,2014
